QA,ans,length,sentiment,sim_wrt_topic,topic_rank
movieberto matrix,"[('matrix', 1.0), ('movieberto', 2.09861228866811)]",2,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.9950348734855652,1
they spar again,"[('spar', 2.09861228866811)]",3,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.9884436130523682,1
neo laughs but is unsettled,"[('neo', 1.4054651081081644), ('laughs', 2.09861228866811), ('unsettled', 2.09861228866811)]",5,"{'neg': 0.366, 'neu': 0.373, 'pos': 0.261, 'compound': -0.2144}",0.9891510605812073,0
morpheus holds out two pills,"[('morpheus', 1.4054651081081644), ('holds', 1.6931471805599454), ('pills', 2.09861228866811)]",5,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.9896619915962219,4
the the door of bright light,"[('door', 1.6931471805599454), ('light', 1.6931471805599454), ('bright', 2.09861228866811)]",6,"{'neg': 0.0, 'neu': 0.633, 'pos': 0.367, 'compound': 0.4404}",0.997112512588501,3
link serving on morpheus ship terrifies her,"[('morpheus', 1.4054651081081644), ('ship', 1.4054651081081644), ('link', 1.6931471805599454), ('serving', 2.09861228866811), ('terrifies', 2.09861228866811)]",7,"{'neg': 0.375, 'neu': 0.625, 'pos': 0.0, 'compound': -0.5574}",0.9809460639953613,4
they do after all depend on them,"[('depend', 2.09861228866811)]",7,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.9424679279327393,2
he runs to neo and attacks him,"[('runs', 1.1823215567939547), ('neo', 1.4054651081081644), ('attacks', 1.6931471805599454)]",7,"{'neg': 0.326, 'neu': 0.674, 'pos': 0.0, 'compound': -0.4404}",0.9813281893730164,4
the three agents reunite at the front of the truck,"[('agents', 1.6931471805599454), ('truck', 1.6931471805599454), ('reunite', 2.09861228866811)]",10,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.9969388246536255,3
all other ships are home twice as often as the nebucadnezzar,"[('home', 1.6931471805599454), ('twice', 1.6931471805599454), ('ships', 2.09861228866811), ('nebucadnezzar', 2.09861228866811)]",11,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.9866468906402588,1
they then ask if there has been word from the nebucadnezzar,"[('word', 1.6931471805599454), ('ask', 2.09861228866811), ('nebucadnezzar', 2.09861228866811)]",11,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.8968526721000671,2
the cable inserted into the base of his skull suddenly detaches,"[('suddenly', 1.4054651081081644), ('cable', 1.6931471805599454), ('inserted', 2.09861228866811), ('base', 2.09861228866811), ('skull', 2.09861228866811)]",11,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.9973987936973572,3
neo looks at shattered mirror placed next to him which miraculously repairs itself,"[('neo', 1.4054651081081644), ('looks', 1.6931471805599454), ('repairs', 1.6931471805599454), ('shattered', 2.09861228866811), ('mirror', 2.09861228866811)]",13,"{'neg': 0.205, 'neu': 0.795, 'pos': 0.0, 'compound': -0.4767}",0.9873577356338501,4
link communicates with one of the gate operators and they are let inside,"[('inside', 1.4054651081081644), ('link', 1.6931471805599454), ('gate', 1.6931471805599454), ('let', 1.6931471805599454), ('communicates', 2.09861228866811)]",13,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.9866640567779541,1
some are so inert so dependent upon the matrix that they can never be free,"[('matrix', 1.0), ('free', 1.4054651081081644), ('inert', 2.09861228866811), ('dependent', 2.09861228866811)]",15,"{'neg': 0.162, 'neu': 0.838, 'pos': 0.0, 'compound': -0.4023}",0.9385719299316406,2
if they did turn them off what would happen to their water supply heat etc,"[('did', 1.4054651081081644), ('turn', 1.4054651081081644), ('water', 1.6931471805599454), ('supply', 1.6931471805599454), ('heat', 1.6931471805599454)]",15,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.9020880460739136,2
rec log then carrier anomaly trace program running as the grid of numbers appears again warning appears system failure,"[('program', 1.4054651081081644), ('running', 1.4054651081081644), ('appears', 1.4054651081081644), ('appears', 1.4054651081081644), ('anomaly', 1.6931471805599454)]",19,"{'neg': 0.251, 'neu': 0.749, 'pos': 0.0, 'compound': -0.6908}",0.9968788623809814,3
morpheus and tank are amazed at neo ability to ingest information but morpheus wants to test neo morpheus and neo stand in sparring program,"[('morpheus', 1.4054651081081644), ('neo', 1.4054651081081644), ('information', 1.4054651081081644), ('morpheus', 1.4054651081081644), ('neo', 1.4054651081081644)]",24,"{'neg': 0.0, 'neu': 0.854, 'pos': 0.146, 'compound': 0.4118}",0.9826876521110535,0
accordingly morpheus asks for volunteer ship to remain in broadcast depth while the nebuchadnezzar returns to zion to recharge and make repairs despite commander lock direct orders for all ships to return,"[('morpheus', 1.4054651081081644), ('asks', 1.4054651081081644), ('ship', 1.4054651081081644), ('nebuchadnezzar', 1.4054651081081644), ('zion', 1.4054651081081644)]",32,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.9936192035675049,0
neo final words to smith are it was inevitable quoting smith oft spoken admonition smith assimilation of neo is seemingly successful and when the oracle smith asks neo smith whether it is over he receives nod and smile as reply,"[('neo', 1.4054651081081644), ('smith', 1.4054651081081644), ('smith', 1.4054651081081644), ('smith', 1.4054651081081644), ('neo', 1.4054651081081644)]",40,"{'neg': 0.0, 'neu': 0.858, 'pos': 0.142, 'compound': 0.743}",0.9845280647277832,0
