question,answer,bait
timon takes ma uncle max and the meerkat colony to live in the ______ realizing his true hakuna matata is family,"('jungle', '1.40546510811', 10)","[('uncle', '1.40546510811'), ('jungle', '1.40546510811'), ('jungle', '1.40546510811')]"
timon takes ma _____ max and the meerkat colony to live in the jungle realizing his true hakuna matata is family,"('uncle', '1.40546510811', 6)","[('jungle', '1.40546510811'), ('jungle', '1.40546510811'), ('jungle', '1.40546510811')]"
timon takes ma uncle max and the meerkat colony to live in the ______ realizing his true hakuna matata is family,"('jungle', '1.40546510811', 10)","[('uncle', '1.40546510811'), ('jungle', '1.40546510811'), ('jungle', '1.40546510811')]"
timon takes ma uncle max and the meerkat colony to live in the ______ realizing his true hakuna matata is family,"('jungle', '1.40546510811', 10)","[('uncle', '1.40546510811'), ('jungle', '1.40546510811'), ('jungle', '1.40546510811')]"
timon takes ma uncle max and the meerkat colony to live in the ______ realizing his true hakuna matata is family,"('jungle', '1.40546510811', 10)","[('uncle', '1.40546510811'), ('jungle', '1.40546510811'), ('jungle', '1.40546510811')]"
timon takes ma _____ max and the meerkat colony to live in the jungle realizing his true hakuna matata is family,"('uncle', '1.40546510811', 6)","[('jungle', '1.40546510811'), ('jungle', '1.40546510811'), ('jungle', '1.40546510811')]"
timon takes ma uncle max and the meerkat colony to live in the ______ realizing his true hakuna matata is family,"('jungle', '1.40546510811', 10)","[('uncle', '1.40546510811'), ('jungle', '1.40546510811'), ('jungle', '1.40546510811')]"
timon takes ma uncle max and the meerkat colony to live in the ______ realizing his true hakuna matata is family,"('jungle', '1.40546510811', 10)","[('uncle', '1.40546510811'), ('jungle', '1.40546510811'), ('jungle', '1.40546510811')]"
at the end of the ____ an army of silhouetted disney characters join timon and pumbaa to re watch the ____ in the cinema but pumbaa informs timon he still grows anxious in crowds,"('film', '1.69314718056', 6)","[('join', '1.69314718056'), ('film', '1.69314718056'), ('film', '1.69314718056')]"
at the end of the film an army of silhouetted disney characters ____ timon and pumbaa to re watch the film in the cinema but pumbaa informs timon he still grows anxious in crowds,"('join', '1.69314718056', 3)","[('film', '1.69314718056'), ('film', '1.69314718056'), ('film', '1.69314718056')]"
at the end of the ____ an army of silhouetted disney characters join timon and pumbaa to re watch the ____ in the cinema but pumbaa informs timon he still grows anxious in crowds,"('film', '1.69314718056', 6)","[('join', '1.69314718056'), ('film', '1.69314718056'), ('film', '1.69314718056')]"
at the end of the ____ an army of silhouetted disney characters join timon and pumbaa to re watch the ____ in the cinema but pumbaa informs timon he still grows anxious in crowds,"('film', '1.69314718056', 6)","[('join', '1.69314718056'), ('film', '1.69314718056'), ('film', '1.69314718056')]"
at the end of the ____ an army of silhouetted disney characters join timon and pumbaa to re watch the ____ in the cinema but pumbaa informs timon he still grows anxious in crowds,"('film', '1.69314718056', 6)","[('join', '1.69314718056'), ('film', '1.69314718056'), ('film', '1.69314718056')]"
at the end of the film an army of silhouetted disney characters ____ timon and pumbaa to re watch the film in the cinema but pumbaa informs timon he still grows anxious in crowds,"('join', '1.69314718056', 3)","[('film', '1.69314718056'), ('film', '1.69314718056'), ('film', '1.69314718056')]"
at the end of the ____ an army of silhouetted disney characters join timon and pumbaa to re watch the ____ in the cinema but pumbaa informs timon he still grows anxious in crowds,"('film', '1.69314718056', 6)","[('join', '1.69314718056'), ('film', '1.69314718056'), ('film', '1.69314718056')]"
at the end of the ____ an army of silhouetted disney characters join timon and pumbaa to re watch the ____ in the cinema but pumbaa informs timon he still grows anxious in crowds,"('film', '1.69314718056', 6)","[('join', '1.69314718056'), ('film', '1.69314718056'), ('film', '1.69314718056')]"
